#instrument     mjdstart    exp    flt flux   unc    sig
P200/CHIMERA    59971.26288  50.00 r   -0.98  3.73  -0.26 
P200/CHIMERA    59971.26346  50.00 r   -0.95  3.03  -0.31 
P200/CHIMERA    59971.26404  50.00 r    5.26  3.51   1.50 
P200/CHIMERA    59971.26461  50.00 r    1.70  3.40   0.50 
P200/CHIMERA    59971.26519  50.00 r   -0.17  3.36  -0.05 
P200/CHIMERA    59971.26577  50.00 r    2.12  3.79   0.56 
P200/CHIMERA    59971.26635  50.00 r   -0.20  3.88  -0.05 
P200/CHIMERA    59971.26693  50.00 r    2.13  3.97   0.54 
P200/CHIMERA    59971.26751  50.00 r    3.33  3.27   1.02 
P200/CHIMERA    59971.26809  50.00 r    3.09  4.01   0.77 
P200/CHIMERA    59971.26871  50.00 r    1.36  3.73   0.36 
P200/CHIMERA    59971.26929  50.00 r    0.57  3.65   0.16 
P200/CHIMERA    59971.26986  50.00 r   -0.33  4.33  -0.08 
P200/CHIMERA    59971.27044  50.00 r    2.20  4.06   0.54 
P200/CHIMERA    59971.27102  50.00 r    8.14  3.52   2.31 
P200/CHIMERA    59971.27160  50.00 r   -0.86  3.40  -0.25 
P200/CHIMERA    59971.27218  50.00 r    0.29  3.59   0.08 
P200/CHIMERA    59971.27276  50.00 r    0.55  3.50   0.16 
P200/CHIMERA    59971.27334  50.00 r   -0.99  3.79  -0.26 
P200/CHIMERA    59971.27392  50.00 r   -0.64  3.85  -0.17 
P200/CHIMERA    59971.27454  50.00 r   -4.28  3.92  -1.09 
P200/CHIMERA    59971.27511  50.00 r    2.16  4.01   0.54 
P200/CHIMERA    59971.27569  50.00 r   -2.46  3.30  -0.75 
P200/CHIMERA    59971.27627  50.00 r    3.86  3.66   1.05 
P200/CHIMERA    59971.27685  50.00 r    4.31  3.66   1.18 
P200/CHIMERA    59971.27743  50.00 r   12.60  3.80   3.32 *
P200/CHIMERA    59971.27801  50.00 r    0.72  4.13   0.18 
P200/CHIMERA    59971.27859  50.00 r    3.02  4.19   0.72 
