#instrument     mjdstart    exp    flt flux  unc    sig
GTC/ULTRACAM    59933.14287  19.99 r   -0.71  1.36  -0.52 
GTC/ULTRACAM    59933.14310  19.99 u    1.33  2.57   0.52 
GTC/ULTRACAM    59933.14310  19.99 g    0.63  0.91   0.69 
GTC/ULTRACAM    59933.14310  19.99 r   -0.07  1.30  -0.06 
GTC/ULTRACAM    59933.14333  19.99 u   -0.97  2.63  -0.37 
GTC/ULTRACAM    59933.14333  19.99 g    0.18  0.99   0.18 
GTC/ULTRACAM    59933.14333  19.99 r   -0.35  1.33  -0.26 
GTC/ULTRACAM    59933.14357  19.99 u    0.60  2.66   0.22 
GTC/ULTRACAM    59933.14357  19.99 g    0.47  0.95   0.49 
GTC/ULTRACAM    59933.14357  19.99 r    0.08  1.33   0.06 
GTC/ULTRACAM    59933.14380  19.99 u    1.34  2.45   0.55 
GTC/ULTRACAM    59933.14380  19.99 g    0.22  0.97   0.23 
GTC/ULTRACAM    59933.14380  19.99 r   -1.26  1.15  -1.10 
GTC/ULTRACAM    59933.14403  19.99 u    1.60  2.15   0.74 
GTC/ULTRACAM    59933.14403  19.99 g   -0.95  0.97  -0.98 
GTC/ULTRACAM    59933.14403  19.99 r   -0.21  1.42  -0.15 
GTC/ULTRACAM    59933.14426  19.99 u    2.91  2.33   1.25 
GTC/ULTRACAM    59933.14426  19.99 g   -1.00  1.02  -0.98 
GTC/ULTRACAM    59933.14426  19.99 r    1.50  1.46   1.03 
GTC/ULTRACAM    59933.14449  19.99 u    5.08  2.60   1.95 
GTC/ULTRACAM    59933.14449  19.99 g    0.23  0.98   0.24 
GTC/ULTRACAM    59933.14449  19.99 r   -0.53  1.43  -0.37 
GTC/ULTRACAM    59933.14472  19.99 u    3.06  2.48   1.23 
GTC/ULTRACAM    59933.14472  19.99 g   -0.73  0.95  -0.77 
GTC/ULTRACAM    59933.14472  19.99 r    1.55  1.25   1.24 
GTC/ULTRACAM    59933.14496  19.99 u    0.02  2.64   0.01 
GTC/ULTRACAM    59933.14496  19.99 g    0.13  0.92   0.14 
GTC/ULTRACAM    59933.14496  19.99 r    1.92  1.35   1.42 
GTC/ULTRACAM    59933.14519  19.99 u    3.59  2.43   1.48 
GTC/ULTRACAM    59933.14519  19.99 g    1.71  0.98   1.75 
GTC/ULTRACAM    59933.14519  19.99 r   -4.02  1.34  -3.00 
GTC/ULTRACAM    59933.14542  19.99 u    2.07  2.64   0.78 
GTC/ULTRACAM    59933.14542  19.99 g    0.41  0.99   0.42 
GTC/ULTRACAM    59933.14542  19.99 r   -1.43  1.35  -1.06 
GTC/ULTRACAM    59933.14565  19.99 u   -0.14  2.62  -0.05 
GTC/ULTRACAM    59933.14565  19.99 g   -0.71  0.89  -0.80 
GTC/ULTRACAM    59933.14565  19.99 r    0.03  1.21   0.02 
GTC/ULTRACAM    59933.14588  19.99 u   -1.00  2.63  -0.38 
GTC/ULTRACAM    59933.14588  19.99 g   -0.01  0.95  -0.01 
GTC/ULTRACAM    59933.14588  19.99 r    2.09  1.30   1.61 
GTC/ULTRACAM    59933.14611  19.99 u    3.39  2.33   1.45 
GTC/ULTRACAM    59933.14611  19.99 g   -0.81  0.93  -0.87 
GTC/ULTRACAM    59933.14611  19.99 r    2.67  1.31   2.04 
GTC/ULTRACAM    59933.14634  19.99 u    1.44  2.72   0.53 
GTC/ULTRACAM    59933.14634  19.99 g    1.28  1.00   1.28 
GTC/ULTRACAM    59933.14634  19.99 r    1.91  1.35   1.41 
GTC/ULTRACAM    59933.14658  19.99 u   -0.25  2.58  -0.10 
GTC/ULTRACAM    59933.14658  19.99 g    1.40  0.90   1.55 
GTC/ULTRACAM    59933.14658  19.99 r   -1.23  1.25  -0.98 
GTC/ULTRACAM    59933.14681  19.99 u   -3.52  2.39  -1.47 
GTC/ULTRACAM    59933.14681  19.99 g    1.19  0.91   1.30 
GTC/ULTRACAM    59933.14681  19.99 r   -0.53  1.36  -0.39 
GTC/ULTRACAM    59933.14704  19.99 u    1.22  2.66   0.46 
GTC/ULTRACAM    59933.14704  19.99 g    0.39  0.98   0.40 
GTC/ULTRACAM    59933.14704  19.99 r   -0.82  1.28  -0.64 
GTC/ULTRACAM    59933.14727  19.99 u    6.35  2.41   2.63 
GTC/ULTRACAM    59933.14727  19.99 g   -0.98  0.99  -0.99 
GTC/ULTRACAM    59933.14727  19.99 r    0.35  1.25   0.28 
GTC/ULTRACAM    59933.14750  19.99 u    2.31  2.37   0.97 
GTC/ULTRACAM    59933.14750  19.99 g    1.15  1.04   1.11 
GTC/ULTRACAM    59933.14750  19.99 r    1.56  1.40   1.11 
GTC/ULTRACAM    59933.14773  19.99 u   -0.24  2.49  -0.10 
GTC/ULTRACAM    59933.14773  19.99 g    0.88  1.00   0.88 
GTC/ULTRACAM    59933.14773  19.99 r    1.58  1.50   1.05 
GTC/ULTRACAM    59933.14797  19.99 u    1.33  2.60   0.51 
GTC/ULTRACAM    59933.14797  19.99 g    0.89  0.91   0.99 
GTC/ULTRACAM    59933.14797  19.99 r   -0.28  1.30  -0.22 
GTC/ULTRACAM    59933.14820  19.99 u    0.39  2.13   0.18 
GTC/ULTRACAM    59933.14820  19.99 g    0.43  1.02   0.42 
GTC/ULTRACAM    59933.14820  19.99 r    1.98  1.27   1.56 
GTC/ULTRACAM    59933.14843  19.99 u    2.34  2.61   0.90 
GTC/ULTRACAM    59933.14843  19.99 g    0.95  0.99   0.96 
GTC/ULTRACAM    59933.14843  19.99 r   -0.02  1.33  -0.01 
GTC/ULTRACAM    59933.14866  19.99 u    0.42  2.53   0.17 
GTC/ULTRACAM    59933.14866  19.99 g    0.38  1.00   0.38 
GTC/ULTRACAM    59933.14866  19.99 r    0.95  1.36   0.70 
GTC/ULTRACAM    59933.14889  19.99 u   -2.00  2.64  -0.76 
GTC/ULTRACAM    59933.14889  19.99 g    0.94  1.03   0.91 
GTC/ULTRACAM    59933.14889  19.99 r    0.83  1.37   0.60 
GTC/ULTRACAM    59933.14912  19.99 u    4.44  2.91   1.53 
GTC/ULTRACAM    59933.14912  19.99 g   -1.00  0.99  -1.01 
GTC/ULTRACAM    59933.14912  19.99 r   -2.23  1.36  -1.64 
GTC/ULTRACAM    59933.14936  19.99 u    4.49  2.99   1.50 
GTC/ULTRACAM    59933.14936  19.99 g   -0.50  1.15  -0.43 
GTC/ULTRACAM    59933.14936  19.99 r    2.26  1.43   1.58 
GTC/ULTRACAM    59933.14959  19.99 u    3.30  2.56   1.29 
GTC/ULTRACAM    59933.14959  19.99 g   -1.24  0.95  -1.31 
GTC/ULTRACAM    59933.14959  19.99 r    0.41  1.32   0.31 
GTC/ULTRACAM    59933.14982  19.99 u    0.25  2.81   0.09 
GTC/ULTRACAM    59933.14982  19.99 g    1.53  1.13   1.35 
GTC/ULTRACAM    59933.14982  19.99 r   -0.17  1.48  -0.12 
GTC/ULTRACAM    59933.15005  19.99 u    1.60  2.60   0.62 
GTC/ULTRACAM    59933.15005  19.99 g    0.99  1.03   0.96 
GTC/ULTRACAM    59933.15005  19.99 r   -0.94  1.28  -0.73 
GTC/ULTRACAM    59933.15028  19.99 u   -2.05  2.48  -0.83 
GTC/ULTRACAM    59933.15028  19.99 g    0.32  0.96   0.33 
GTC/ULTRACAM    59933.15028  19.99 r   -0.32  1.41  -0.22 
GTC/ULTRACAM    59933.15051  19.99 u    0.68  2.79   0.24 
GTC/ULTRACAM    59933.15051  19.99 g    1.87  1.01   1.85 
GTC/ULTRACAM    59933.15051  19.99 r   -0.59  1.31  -0.45 
GTC/ULTRACAM    59933.15074  19.99 u   -3.28  2.87  -1.14 
GTC/ULTRACAM    59933.15074  19.99 g    0.05  1.20   0.04 
GTC/ULTRACAM    59933.15074  19.99 r    0.82  1.47   0.56 
GTC/ULTRACAM    59933.15098  19.99 u    2.48  2.75   0.90 
GTC/ULTRACAM    59933.15098  19.99 g   -0.96  1.05  -0.92 
GTC/ULTRACAM    59933.15098  19.99 r   -0.67  1.38  -0.48 
GTC/ULTRACAM    59933.15121  19.99 u    2.57  2.80   0.92 
GTC/ULTRACAM    59933.15121  19.99 g    2.16  0.92   2.34 
GTC/ULTRACAM    59933.15121  19.99 r   -1.24  1.43  -0.87 
GTC/ULTRACAM    59933.15144  19.99 u    1.97  2.70   0.73 
GTC/ULTRACAM    59933.15144  19.99 g   -0.10  0.97  -0.10 
GTC/ULTRACAM    59933.15144  19.99 r    0.27  1.26   0.21 
GTC/ULTRACAM    59933.15167  19.99 u   -2.54  2.48  -1.02 
GTC/ULTRACAM    59933.15167  19.99 g    0.35  1.03   0.34 
GTC/ULTRACAM    59933.15167  19.99 r   -1.73  1.23  -1.41 
GTC/ULTRACAM    59933.15190  19.99 u    3.64  2.40   1.52 
GTC/ULTRACAM    59933.15190  19.99 g   -1.48  0.93  -1.59 
GTC/ULTRACAM    59933.15190  19.99 r   -0.21  1.19  -0.18 
GTC/ULTRACAM    59933.15213  19.99 u    1.22  2.72   0.45 
GTC/ULTRACAM    59933.15213  19.99 g   -2.20  0.99  -2.23 
GTC/ULTRACAM    59933.15213  19.99 r   -2.08  1.37  -1.52 
GTC/ULTRACAM    59933.15237  19.99 u    3.75  2.63   1.43 
GTC/ULTRACAM    59933.15237  19.99 g   -0.88  0.93  -0.95 
GTC/ULTRACAM    59933.15237  19.99 r   -0.74  1.38  -0.54 
GTC/ULTRACAM    59933.15260  19.99 u    1.62  3.09   0.52 
GTC/ULTRACAM    59933.15260  19.99 g   -0.75  1.17  -0.64 
GTC/ULTRACAM    59933.15260  19.99 r    1.60  1.51   1.06 
GTC/ULTRACAM    59933.15283  19.99 u    5.84  3.68   1.59 
GTC/ULTRACAM    59933.15283  19.99 g   -0.86  1.34  -0.64 
GTC/ULTRACAM    59933.15283  19.99 r    0.76  1.77   0.43 
GTC/ULTRACAM    59933.15306  19.99 u    1.03  2.94   0.35 
GTC/ULTRACAM    59933.15306  19.99 g   -0.18  1.22  -0.15 
GTC/ULTRACAM    59933.15306  19.99 r   -1.25  1.58  -0.79 
GTC/ULTRACAM    59933.15329  19.99 u   -0.57  2.75  -0.21 
GTC/ULTRACAM    59933.15329  19.99 g    1.55  1.10   1.41 
GTC/ULTRACAM    59933.15329  19.99 r   -0.72  1.43  -0.50 
GTC/ULTRACAM    59933.15352  19.99 u   -1.42  2.72  -0.52 
GTC/ULTRACAM    59933.15352  19.99 g   -0.62  1.08  -0.57 
GTC/ULTRACAM    59933.15352  19.99 r   -1.31  1.41  -0.93 
GTC/ULTRACAM    59933.15376  19.99 u    4.41  3.08   1.43 
GTC/ULTRACAM    59933.15376  19.99 g    0.21  1.07   0.20 
GTC/ULTRACAM    59933.15376  19.99 r   -0.60  1.60  -0.38 
GTC/ULTRACAM    59933.15399  19.99 u    3.53  3.15   1.12 
GTC/ULTRACAM    59933.15399  19.99 g   -0.20  1.21  -0.16 
GTC/ULTRACAM    59933.15399  19.99 r    2.91  1.60   1.82 
GTC/ULTRACAM    59933.15422  19.99 u    0.80  3.41   0.23 
GTC/ULTRACAM    59933.15422  19.99 g   -0.06  1.24  -0.05 
GTC/ULTRACAM    59933.15422  19.99 r   -0.98  1.52  -0.65 
GTC/ULTRACAM    59933.15445  19.99 g   -0.88  1.18  -0.74 
GTC/ULTRACAM    59933.15445  19.99 r   -1.49  1.60  -0.93 
GTC/ULTRACAM    59933.15468  19.99 u    2.56  3.00   0.85 
GTC/ULTRACAM    59933.15468  19.99 g   -1.15  1.11  -1.04 
GTC/ULTRACAM    59933.15468  19.99 r   -0.29  1.38  -0.21 
GTC/ULTRACAM    59933.15491  19.99 u    9.61  4.27   2.25 
GTC/ULTRACAM    59933.15491  19.99 g    2.03  1.60   1.27 
GTC/ULTRACAM    59933.15491  19.99 r    4.92  2.08   2.37 
GTC/ULTRACAM    59933.15515  19.99 g    2.51  1.55   1.62 
GTC/ULTRACAM    59933.15515  19.99 r    2.27  1.66   1.37 
GTC/ULTRACAM    59933.15538  19.99 u    0.67  3.19   0.21 
GTC/ULTRACAM    59933.15538  19.99 g   -0.04  1.12  -0.04 
GTC/ULTRACAM    59933.15538  19.99 r    0.33  1.61   0.20 
GTC/ULTRACAM    59933.15561  19.99 g   -0.31  1.15  -0.27 
GTC/ULTRACAM    59933.15561  19.99 r   -0.12  1.66  -0.07 
GTC/ULTRACAM    59933.15584  19.99 u   -0.28  3.39  -0.08 
GTC/ULTRACAM    59933.15584  19.99 g   -0.31  1.35  -0.23 
GTC/ULTRACAM    59933.15584  19.99 r    2.21  1.72   1.28 
GTC/ULTRACAM    59933.15607  19.99 u    1.56  3.75   0.42 
GTC/ULTRACAM    59933.15607  19.99 g   -0.79  1.41  -0.56 
GTC/ULTRACAM    59933.15607  19.99 r    0.42  1.76   0.24 
GTC/ULTRACAM    59933.15630  19.99 u    5.47  4.35   1.26 
GTC/ULTRACAM    59933.15630  19.99 g    0.07  1.43   0.05 
GTC/ULTRACAM    59933.15630  19.99 r    2.74  1.86   1.47 
GTC/ULTRACAM    59933.15653  19.99 u   -0.04  3.00  -0.01 
GTC/ULTRACAM    59933.15653  19.99 g    1.33  1.16   1.15 
GTC/ULTRACAM    59933.15653  19.99 r    2.53  1.61   1.57 
GTC/ULTRACAM    59933.15677  19.99 u    4.92  3.04   1.62 
GTC/ULTRACAM    59933.15677  19.99 g    0.64  1.06   0.60 
GTC/ULTRACAM    59933.15677  19.99 r    0.00  1.53   0.00 
GTC/ULTRACAM    59933.15700  19.99 u    4.31  3.04   1.42 
GTC/ULTRACAM    59933.15700  19.99 g    0.48  1.20   0.40 
GTC/ULTRACAM    59933.15700  19.99 r    2.42  1.47   1.65 
GTC/ULTRACAM    59933.15723  19.99 u    2.32  4.30   0.54 
GTC/ULTRACAM    59933.15723  19.99 g    0.98  1.48   0.66 
GTC/ULTRACAM    59933.15723  19.99 r   -0.56  1.87  -0.30 
GTC/ULTRACAM    59933.15746  19.99 u    2.62  3.35   0.78 
GTC/ULTRACAM    59933.15746  19.99 g    1.57  1.18   1.33 
GTC/ULTRACAM    59933.15746  19.99 r   -0.30  1.60  -0.19 
GTC/ULTRACAM    59933.15769  19.99 u    2.83  2.87   0.99 
GTC/ULTRACAM    59933.15769  19.99 g    0.45  1.04   0.44 
GTC/ULTRACAM    59933.15769  19.99 r    2.67  1.36   1.96 
GTC/ULTRACAM    59933.15792  19.99 g    0.56  1.25   0.44 
GTC/ULTRACAM    59933.15792  19.99 r    1.07  1.60   0.67 
GTC/ULTRACAM    59933.15816  19.99 u    3.62  2.71   1.34 
GTC/ULTRACAM    59933.15816  19.99 g    2.40  0.96   2.50 
GTC/ULTRACAM    59933.15816  19.99 r   -1.09  1.49  -0.73 
GTC/ULTRACAM    59933.15839  19.99 u    0.26  3.05   0.09 
GTC/ULTRACAM    59933.15839  19.99 g   -0.38  1.13  -0.33 
GTC/ULTRACAM    59933.15839  19.99 r    0.26  1.46   0.18 
GTC/ULTRACAM    59933.15862  19.99 u    0.44  2.77   0.16 
GTC/ULTRACAM    59933.15862  19.99 g    0.82  1.12   0.73 
GTC/ULTRACAM    59933.15862  19.99 r    0.09  1.41   0.06 
GTC/ULTRACAM    59933.15885  19.99 u    8.87  2.93   3.03 *
GTC/ULTRACAM    59933.15885  19.99 g   -1.07  1.03  -1.04 
GTC/ULTRACAM    59933.15885  19.99 r    2.71  1.47   1.84 
GTC/ULTRACAM    59933.15908  19.99 u    6.86  3.38   2.03 
GTC/ULTRACAM    59933.15908  19.99 g    0.47  1.24   0.38 
GTC/ULTRACAM    59933.15908  19.99 r   -0.92  1.56  -0.59 
GTC/ULTRACAM    59933.15931  19.99 u    2.99  3.01   0.99 
GTC/ULTRACAM    59933.15931  19.99 g    0.39  1.13   0.34 
GTC/ULTRACAM    59933.15931  19.99 r   -1.82  1.49  -1.22 
GTC/ULTRACAM    59933.15955  19.99 g    0.31  1.01   0.31 
GTC/ULTRACAM    59933.15955  19.99 r    3.24  1.47   2.20 
GTC/ULTRACAM    59933.15978  19.99 u    7.36  3.16   2.33 
GTC/ULTRACAM    59933.15978  19.99 g   -0.19  1.08  -0.18 
GTC/ULTRACAM    59933.15978  19.99 r    1.39  1.42   0.98 
GTC/ULTRACAM    59933.16001  19.99 g   -0.33  1.05  -0.31 
GTC/ULTRACAM    59933.16001  19.99 r    1.25  1.40   0.89 
GTC/ULTRACAM    59933.16024  19.99 u    4.56  2.70   1.69 
GTC/ULTRACAM    59933.16024  19.99 g    1.39  0.94   1.47 
GTC/ULTRACAM    59933.16024  19.99 r    0.99  1.35   0.73 
GTC/ULTRACAM    59933.16047  19.99 u    9.00  2.73   3.30 *
GTC/ULTRACAM    59933.16047  19.99 g    0.68  0.98   0.69 
GTC/ULTRACAM    59933.16047  19.99 r   -0.58  1.31  -0.44 
GTC/ULTRACAM    59933.16070  19.99 u    4.50  2.49   1.81 
GTC/ULTRACAM    59933.16070  19.99 g   -0.27  0.88  -0.30 
GTC/ULTRACAM    59933.16070  19.99 r    2.21  1.39   1.59 
GTC/ULTRACAM    59933.16093  19.99 u    0.08  2.73   0.03 
GTC/ULTRACAM    59933.16093  19.99 g    0.16  1.09   0.14 
GTC/ULTRACAM    59933.16093  19.99 r    0.18  1.44   0.13 
GTC/ULTRACAM    59933.16117  19.99 u    0.26  2.96   0.09 
GTC/ULTRACAM    59933.16117  19.99 g   -0.20  1.16  -0.18 
GTC/ULTRACAM    59933.16117  19.99 r   -0.64  1.43  -0.45 
GTC/ULTRACAM    59933.16140  19.99 u    0.95  2.74   0.35 
GTC/ULTRACAM    59933.16140  19.99 g    0.93  1.11   0.84 
GTC/ULTRACAM    59933.16140  19.99 r   -1.67  1.36  -1.23 
GTC/ULTRACAM    59933.16163  19.99 g    0.63  1.05   0.60 
GTC/ULTRACAM    59933.16163  19.99 r    0.60  1.36   0.44 
GTC/ULTRACAM    59933.16186  19.99 u    1.75  2.60   0.67 
GTC/ULTRACAM    59933.16186  19.99 g    0.41  0.96   0.43 
GTC/ULTRACAM    59933.16186  19.99 r    0.30  1.40   0.21 
GTC/ULTRACAM    59933.16209  19.99 u    3.21  2.67   1.20 
GTC/ULTRACAM    59933.16209  19.99 g    0.35  0.94   0.37 
GTC/ULTRACAM    59933.16209  19.99 r   -0.57  1.32  -0.43 
GTC/ULTRACAM    59933.16232  19.99 u    2.31  2.69   0.86 
GTC/ULTRACAM    59933.16232  19.99 g    0.09  1.04   0.09 
GTC/ULTRACAM    59933.16232  19.99 r   -0.56  1.39  -0.40 
GTC/ULTRACAM    59933.16256  19.99 g    0.79  1.22   0.65 
GTC/ULTRACAM    59933.16256  19.99 r    0.85  1.54   0.55 
GTC/ULTRACAM    59933.16279  19.99 u    5.60  3.18   1.76 
GTC/ULTRACAM    59933.16279  19.99 g   -1.19  1.11  -1.07 
GTC/ULTRACAM    59933.16279  19.99 r    0.45  1.51   0.30 
GTC/ULTRACAM    59933.16302  19.99 u    4.29  3.51   1.22 
GTC/ULTRACAM    59933.16302  19.99 g    2.73  1.09   2.50 
GTC/ULTRACAM    59933.16302  19.99 r    0.77  1.60   0.48 
GTC/ULTRACAM    59933.16325  19.99 u   -2.33  3.07  -0.76 
GTC/ULTRACAM    59933.16325  19.99 g    1.25  1.08   1.16 
GTC/ULTRACAM    59933.16325  19.99 r    1.23  1.49   0.83 
GTC/ULTRACAM    59933.16348  19.99 u    4.60  2.88   1.60 
GTC/ULTRACAM    59933.16348  19.99 g    0.50  1.07   0.47 
GTC/ULTRACAM    59933.16348  19.99 r    0.98  1.47   0.67 
GTC/ULTRACAM    59933.16371  19.99 u    2.14  4.68   0.46 
GTC/ULTRACAM    59933.16371  19.99 g    1.71  1.55   1.10 
GTC/ULTRACAM    59933.16371  19.99 r    1.64  2.07   0.79 
GTC/ULTRACAM    59933.16395  19.99 g    1.39  1.30   1.07 
GTC/ULTRACAM    59933.16395  19.99 r    2.56  1.65   1.55 
GTC/ULTRACAM    59933.16418  19.99 g    0.92  1.09   0.84 
GTC/ULTRACAM    59933.16418  19.99 r    2.88  1.38   2.09 
GTC/ULTRACAM    59933.16441  19.99 g    0.79  1.22   0.65 
GTC/ULTRACAM    59933.16441  19.99 r   -0.03  1.36  -0.03 
GTC/ULTRACAM    59933.16464  19.99 u    3.31  3.02   1.10 
GTC/ULTRACAM    59933.16464  19.99 g   -0.52  1.11  -0.47 
GTC/ULTRACAM    59933.16464  19.99 r   -0.65  1.47  -0.44 
GTC/ULTRACAM    59933.16487  19.99 u    1.14  2.93   0.39 
GTC/ULTRACAM    59933.16487  19.99 g    1.12  1.33   0.84 
GTC/ULTRACAM    59933.16487  19.99 r    1.21  1.59   0.76 
GTC/ULTRACAM    59933.16510  19.99 g   -0.75  1.37  -0.55 
GTC/ULTRACAM    59933.16510  19.99 r    0.26  1.76   0.15 
GTC/ULTRACAM    59933.16533  19.99 g   -0.01  1.58  -0.00 
GTC/ULTRACAM    59933.16533  19.99 r    1.09  1.88   0.58 
GTC/ULTRACAM    59933.16557  19.99 g   -0.92  1.40  -0.65 
GTC/ULTRACAM    59933.16557  19.99 r    1.23  1.93   0.64 
GTC/ULTRACAM    59933.16580  19.99 g   -1.69  1.22  -1.39 
GTC/ULTRACAM    59933.16580  19.99 r    3.01  1.51   1.99 
GTC/ULTRACAM    59933.16603  19.99 g    1.97  1.21   1.63 
GTC/ULTRACAM    59933.16603  19.99 r    1.89  1.57   1.20 
GTC/ULTRACAM    59933.16626  19.99 u    4.67  3.39   1.38 
GTC/ULTRACAM    59933.16626  19.99 g   -0.36  1.17  -0.31 
GTC/ULTRACAM    59933.16626  19.99 r    0.05  1.54   0.04 
GTC/ULTRACAM    59933.16649  19.99 u    4.08  3.17   1.29 
GTC/ULTRACAM    59933.16649  19.99 g    0.51  1.31   0.39 
GTC/ULTRACAM    59933.16649  19.99 r    0.38  1.73   0.22 
GTC/ULTRACAM    59933.16672  19.99 u   -1.57  3.13  -0.50 
GTC/ULTRACAM    59933.16672  19.99 g    0.80  1.22   0.66 
GTC/ULTRACAM    59933.16672  19.99 r    0.94  1.52   0.62 
GTC/ULTRACAM    59933.16696  19.99 u    3.36  3.10   1.08 
GTC/ULTRACAM    59933.16696  19.99 g   -0.08  1.19  -0.07 
GTC/ULTRACAM    59933.16696  19.99 r   -2.16  1.58  -1.37 
GTC/ULTRACAM    59933.16719  19.99 u    5.86  3.70   1.58 
GTC/ULTRACAM    59933.16719  19.99 g    3.61  1.39   2.60 
GTC/ULTRACAM    59933.16719  19.99 r    2.69  1.91   1.41 
GTC/ULTRACAM    59933.16742  19.99 g   -1.68  1.61  -1.04 
GTC/ULTRACAM    59933.16742  19.99 r    0.99  1.97   0.50 
GTC/ULTRACAM    59933.16765  19.99 g    1.87  1.19   1.57 
GTC/ULTRACAM    59933.16765  19.99 r   -2.62  1.48  -1.77 
GTC/ULTRACAM    59933.16788  19.99 u    0.29  2.70   0.11 
GTC/ULTRACAM    59933.16788  19.99 g    0.12  1.10   0.10 
GTC/ULTRACAM    59933.16788  19.99 r   -0.22  1.30  -0.17 
GTC/ULTRACAM    59933.16811  19.99 u    3.41  2.66   1.28 
GTC/ULTRACAM    59933.16811  19.99 g    0.32  1.14   0.28 
GTC/ULTRACAM    59933.16811  19.99 r   -1.38  1.37  -1.01 
GTC/ULTRACAM    59933.16835  19.99 u    3.92  2.50   1.57 
GTC/ULTRACAM    59933.16835  19.99 g    0.55  1.00   0.55 
GTC/ULTRACAM    59933.16835  19.99 r   -0.92  1.30  -0.71 
GTC/ULTRACAM    59933.16858  19.99 u    7.92  3.32   2.39 
GTC/ULTRACAM    59933.16858  19.99 g    1.86  1.13   1.65 
GTC/ULTRACAM    59933.16858  19.99 r    0.08  1.57   0.05 
GTC/ULTRACAM    59933.16881  19.99 u    4.23  3.52   1.20 
GTC/ULTRACAM    59933.16881  19.99 g    0.05  1.26   0.04 
GTC/ULTRACAM    59933.16881  19.99 r    2.54  1.53   1.66 
GTC/ULTRACAM    59933.16904  19.99 u    1.09  2.83   0.39 
GTC/ULTRACAM    59933.16904  19.99 g    0.26  1.05   0.25 
GTC/ULTRACAM    59933.16904  19.99 r   -0.27  1.44  -0.19 
GTC/ULTRACAM    59933.16927  19.99 u   -6.88  3.69  -1.86 
GTC/ULTRACAM    59933.16927  19.99 g    1.16  1.45   0.80 
GTC/ULTRACAM    59933.16927  19.99 r    2.37  1.84   1.29 
GTC/ULTRACAM    59933.16950  19.99 u    8.24  3.40   2.42 
GTC/ULTRACAM    59933.16950  19.99 g    2.06  1.41   1.46 
GTC/ULTRACAM    59933.16950  19.99 r   -1.55  1.67  -0.93 
GTC/ULTRACAM    59933.16974  19.99 u    6.08  2.89   2.10 
GTC/ULTRACAM    59933.16974  19.99 g    0.49  1.12   0.44 
GTC/ULTRACAM    59933.16974  19.99 r    2.47  1.52   1.62 
GTC/ULTRACAM    59933.16997  19.99 u    4.54  2.88   1.58 
GTC/ULTRACAM    59933.16997  19.99 g    0.68  1.00   0.68 
GTC/ULTRACAM    59933.16997  19.99 r    0.48  1.42   0.34 
GTC/ULTRACAM    59933.17020  19.99 u   -1.06  2.64  -0.40 
GTC/ULTRACAM    59933.17020  19.99 g    0.47  1.07   0.44 
GTC/ULTRACAM    59933.17020  19.99 r    1.22  1.46   0.84 
GTC/ULTRACAM    59933.17043  19.99 u    8.77  3.21   2.73 
GTC/ULTRACAM    59933.17043  19.99 g    0.93  1.16   0.80 
GTC/ULTRACAM    59933.17043  19.99 r   -1.24  1.40  -0.89 
GTC/ULTRACAM    59933.17066  19.99 u    0.41  2.69   0.15 
GTC/ULTRACAM    59933.17066  19.99 g    1.07  1.00   1.07 
GTC/ULTRACAM    59933.17066  19.99 r    1.45  1.47   0.99 
GTC/ULTRACAM    59933.17089  19.99 u   -0.66  3.17  -0.21 
GTC/ULTRACAM    59933.17089  19.99 g   -0.93  1.19  -0.78 
GTC/ULTRACAM    59933.17089  19.99 r   -2.60  1.52  -1.71 
GTC/ULTRACAM    59933.17112  19.99 u    6.12  3.44   1.78 
GTC/ULTRACAM    59933.17112  19.99 g   -2.39  1.30  -1.84 
GTC/ULTRACAM    59933.17112  19.99 r   -0.38  1.79  -0.21 
GTC/ULTRACAM    59933.17136  19.99 g    0.54  1.12   0.49 
GTC/ULTRACAM    59933.17136  19.99 r    2.11  1.51   1.40 
GTC/ULTRACAM    59933.17159  19.99 u   -0.37  3.43  -0.11 
GTC/ULTRACAM    59933.17159  19.99 g    0.32  1.28   0.25 
GTC/ULTRACAM    59933.17159  19.99 r    2.35  1.58   1.49 
GTC/ULTRACAM    59933.17182  19.99 g    0.62  1.43   0.44 
GTC/ULTRACAM    59933.17182  19.99 r    0.75  1.93   0.39 
GTC/ULTRACAM    59933.17205  19.99 g    0.83  1.25   0.66 
GTC/ULTRACAM    59933.17228  19.99 g   -0.89  1.41  -0.63 
GTC/ULTRACAM    59933.17228  19.99 r   -0.36  1.68  -0.22 
GTC/ULTRACAM    59933.17251  19.99 u   -1.95  4.99  -0.39 
GTC/ULTRACAM    59933.17251  19.99 g   -1.56  1.79  -0.87 
GTC/ULTRACAM    59933.17251  19.99 r    1.20  2.32   0.52 
GTC/ULTRACAM    59933.17275  19.99 u    9.07  4.27   2.12 
GTC/ULTRACAM    59933.17275  19.99 g   -0.92  1.62  -0.57 
GTC/ULTRACAM    59933.17275  19.99 r    0.62  1.98   0.32 
GTC/ULTRACAM    59933.17298  19.99 g    3.49  1.57   2.22 
GTC/ULTRACAM    59933.17298  19.99 r   -2.14  2.03  -1.05 
GTC/ULTRACAM    59933.17321  19.99 u   -2.78  4.29  -0.65 
GTC/ULTRACAM    59933.17321  19.99 g   -0.05  1.49  -0.03 
GTC/ULTRACAM    59933.17321  19.99 r    0.86  1.93   0.44 
