#inst           mjdstart     exp   flt flux   unc   sig
NTT/ULTRACAM    59933.13893  19.99 g    1.75  1.01   1.73 
NTT/ULTRACAM    59933.13893  19.99 r    1.06  1.31   0.81 
NTT/ULTRACAM    59933.13917  19.99 u   -3.40  2.61  -1.30 
NTT/ULTRACAM    59933.13917  19.99 g   -1.51  0.92  -1.64 
NTT/ULTRACAM    59933.13917  19.99 r    0.13  1.35   0.10 
NTT/ULTRACAM    59933.13940  19.99 u   -2.40  2.47  -0.97 
NTT/ULTRACAM    59933.13940  19.99 g    1.58  0.92   1.72 
NTT/ULTRACAM    59933.13940  19.99 r    0.41  1.33   0.31 
NTT/ULTRACAM    59933.13963  19.99 u    1.46  2.42   0.60 
NTT/ULTRACAM    59933.13963  19.99 g   -1.04  0.80  -1.31 
NTT/ULTRACAM    59933.13963  19.99 r    0.65  1.11   0.59 
NTT/ULTRACAM    59933.13986  19.99 u   -2.11  2.40  -0.88 
NTT/ULTRACAM    59933.13986  19.99 g   -0.42  0.94  -0.45 
NTT/ULTRACAM    59933.13986  19.99 r   -1.20  1.34  -0.90 
NTT/ULTRACAM    59933.14009  19.99 u   -0.58  2.55  -0.23 
NTT/ULTRACAM    59933.14009  19.99 g    0.09  1.00   0.09 
NTT/ULTRACAM    59933.14009  19.99 r   -0.10  1.40  -0.07 
NTT/ULTRACAM    59933.14032  19.99 u    2.18  2.32   0.94 
NTT/ULTRACAM    59933.14032  19.99 g   -1.37  0.94  -1.46 
NTT/ULTRACAM    59933.14032  19.99 r   -0.17  1.38  -0.12 
NTT/ULTRACAM    59933.14056  19.99 u   -0.79  2.65  -0.30 
NTT/ULTRACAM    59933.14056  19.99 g    2.18  0.93   2.34 
NTT/ULTRACAM    59933.14056  19.99 r   -0.70  1.29  -0.55 
NTT/ULTRACAM    59933.14079  19.99 u    0.86  2.46   0.35 
NTT/ULTRACAM    59933.14079  19.99 g   -1.05  0.93  -1.13 
NTT/ULTRACAM    59933.14079  19.99 r   -0.97  1.42  -0.69 
NTT/ULTRACAM    59933.14102  19.99 u    0.92  2.35   0.39 
NTT/ULTRACAM    59933.14102  19.99 g   -0.52  0.92  -0.56 
