###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57776.422078  14.412  1.042  6240 6500 c  0   0.93  74.64332  -8.30110  2503.35  2750.99 3.96 3.84  83.7 -0.396 15.00 16.63 02a57776o0410c
57776.437574 -20.429  0.692   -24   17 c  0   1.06  74.64332  -8.30110  2466.92  2807.24 3.94 3.92  80.0 -0.367 19.64 21.67 02a57776o0439c
57780.360677  25.124 46.000     0   15 c  0   0.85  74.64332  -8.30110  2284.71  4360.85 3.86 3.64  70.2 -0.393 19.78 21.80 02a57780o0288c
57780.377541 -22.019  2.353    -6   13 c  0   1.32  74.64332  -8.30110  2270.08  4320.43 3.91 3.67  71.5 -0.395 19.76 21.77 02a57780o0320c
57780.394917 -20.968  0.978   -15   15 c  0   0.93  74.64332  -8.30110  2330.71  4396.42 3.86 3.64  69.2 -0.398 19.72 21.70 02a57780o0353c
57780.412857  20.516  0.677    23   15 c  0   0.95  74.64332  -8.30110  2351.58  4279.24 3.88 3.68  73.1 -0.391 19.67 21.62 02a57780o0387c
57780.429315 -21.730  2.286    -7   17 c  0   0.92  74.64332  -8.30110  2314.54  4335.30 3.84 3.65  69.7 -0.397 19.60 21.49 02a57780o0418c
57784.351630 -21.581  1.458    -8   12 c  0   1.45  74.64332  -8.30110  3999.80  2551.88 3.90 3.80  85.4 -0.371 19.68 21.71 02a57784o0091c
57784.367415  20.442  0.657    24   16 c  0   0.92  74.64332  -8.30110  3982.68  2511.31 3.95 3.83 -87.6 -0.369 19.64 21.65 02a57784o0121c
57784.382612  20.433  0.603    24   15 c  0   1.41  74.64332  -8.30110  4042.97  2588.68 3.89 3.81  89.7 -0.371 19.60 21.59 02a57784o0150c
57784.398447 -21.973  2.625    -6   16 c  0   1.24  74.64332  -8.30110  4066.32  2469.88 3.94 3.86 -78.5 -0.372 19.56 21.55 02a57784o0180c
57784.413899 -23.749 14.333    -1   16 c  0   0.93  74.64332  -8.30110  4028.28  2526.73 3.95 3.90 -73.7 -0.369 19.52 21.52 02a57784o0209c
57788.305124  20.899  1.860    16   30 o  0   0.93  74.64332  -8.30110  1340.13  5203.18 3.77 3.56  88.8 -0.443 18.89 20.07 02a57788o0208o
57788.321237  20.197  0.759    30   23 o  0   1.56  74.64332  -8.30110  1323.07  5164.30 3.75 3.52  87.7 -0.445 18.89 20.06 02a57788o0236o
57788.339550 -20.134  0.909   -32   29 o  0   1.04  74.64332  -8.30110  1384.53  5240.11 3.74 3.59  84.6 -0.434 18.84 20.01 02a57788o0267o
57788.357668 -20.542  1.393   -22   31 o  0   1.02  74.64332  -8.30110  1405.97  5121.53 3.72 3.52  88.6 -0.441 18.82 19.96 02a57788o0298o
57788.376903  20.030  0.929    35   33 o  0   0.71  74.64332  -8.30110  1369.72  5177.35 3.64 3.45  88.8 -0.452 18.80 19.89 02a57788o0330o
