#mjd,cal_psf_mag,psf_inst_mag_sig,psf_inst_flux,psf_inst_flux_sig,filter,exptime,zero_pt,fpa_id,ujy,dujy,pscamera
59527.3442,None,3.58583,-84.7321,303.835,w,45,25.7591,2235179,-0.33978,1.21839,GPC1
59527.35585,None,2.26298,-129.209,292.397,w,45,25.8542,2235209,-0.47468,1.07419,GPC1
59824.5868,None,0.986425,-751.039,740.844,w,45,26.0083,624354,-2.39403,2.36153,GPC2
59824.59645,None,1.17191,-591.144,692.764,w,45,26.0058,624380,-1.88869,2.21336,GPC2
59824.60618,None,0.901395,-1104.23,995.35,w,45,26.0425,624399,-3.41073,3.07442,GPC2
59824.61595,None,1.34891,-575.816,776.723,w,45,26.0379,624429,-1.78612,2.40932,GPC2
59846.54861,22.1191,0.277507,1565.26,434.371,w,45,25.9725,2275012,5.15673,1.43103,GPC1
59846.56198,21.8628,0.27302,1943.22,530.536,w,45,25.9511,2275040,6.52934,1.78263,GPC1
59846.57547,21.896,0.201222,1876.67,377.627,w,45,25.9464,2275069,6.33309,1.27436,GPC1
59846.58901,21.8908,0.244633,1816.23,444.311,w,45,25.9057,2275099,6.36324,1.55666,GPC1
59852.44989,21.7576,0.415985,2273.79,945.864,w,45,26.0164,642721,7.19412,2.99265,GPC2
59852.46124,21.6638,0.454529,2483.01,1128.6,w,45,26.0182,642742,7.84307,3.5649,GPC2
59852.47564,21.9939,0.516319,1830.61,945.18,w,45,26.0174,642775,5.7866,2.98773,GPC2
59852.4871,22.051,0.692544,1754.95,1215.38,w,45,26.0286,642798,5.4905,3.80242,GPC2
59899.32994,23.8463,2.25838,316.777,715.401,w,45,25.9652,2300291,1.05066,2.37278,GPC1
59899.3416,22.9772,1.01853,707.177,720.282,w,45,25.968,2300325,2.33946,2.38281,GPC1
59899.35326,21.658,0.155808,2324.34,362.15,w,45,25.9407,2300353,7.8851,1.22856,GPC1
59899.36495,22.8443,0.526044,785.838,413.386,w,45,25.9496,2300387,2.64412,1.39092,GPC1
59909.35975,21.4116,0.126885,2918.47,370.311,w,45,25.9415,2305089,9.89334,1.25532,GPC1
59909.3718,22.8813,0.584371,762.233,445.427,w,45,25.9535,2305115,2.5555,1.49336,GPC1
59909.38528,24.2292,1.69612,217.599,369.073,w,45,25.9403,2305143,0.73846,1.25251,GPC1
59909.40081,23.7393,1.83912,349.54,642.846,w,45,25.965,2305169,1.15954,2.13253,GPC1
57453.22925,None,1.1602,-127.028,147.378,z,30,24.1411,1353501,-3.39108,3.93434,GPC1
57643.63243,None,2.52769,-103.695,262.108,z,30,24.2236,1437373,-2.56564,6.48514,GPC1
57661.63882,22.0912,3.52388,160.136,564.298,z,30,23.9096,1440972,5.29088,18.64435,GPC1
