 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 29 1500 10 2 ZTF_r 605434223815 0 2.0117 153.469 20.628 25.7046 3.21266e-05 0.0374465 0.101803 3.73034e-05 444 30. 0.05183 0.051898 18.618 25.7046 2 2458359.9342245 1500120238 9.09150615165126 86.3001631275491 0.117186888011598 0.900455872799165 -135.746170098099 165.087412809673 -0.827806469542336 1.03849572314875 1.34320352116845 21.0810002326965 0.114000000059605 1.08000004291534 0.157000005245209 2458356.885081 2458728.016134 0
 30 506 3 3 ZTF_g 610473031115 0 2.6092 98.0972 7.66503 26.2207 3.89674e-05 0.0404229 -0.00506191 4.97614e-05 445 30. 0.057521 0.050115 20.1063 26.2207 1 2458364.9730324 506120111 -7.17359988588347 35.662916989756 -0.223756205325804 1.13984538468822 -19.6710197264777 57.0902558601598 -0.346880652008526 1.0834547987295 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 31 506 3 3 ZTF_g 610479501115 0 2.1435 98.8279 7.59472 26.2178 2.95813e-05 0.037102 -0.00715728 3.52569e-05 478 30. 0.047305 0.052421 20.3613 26.2178 1 2458364.9795023 506120111 6.61006657138563 30.5761362742617 0.240479482774348 1.0998883279807 -14.5660973617713 53.9535986725217 -0.271792822468955 1.06289673072901 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 32 506 3 3 ZTF_r 610495771115 0 1.7282 190.742 8.17666 26.1389 1.0629e-05 0.0229411 0.089088 1.18737e-05 502 30. 0.043631 0.051286 20.1733 26.1389 1 2458364.9957755 506120211 -15.6050546675923 27.4661818597417 -0.632006877389885 0.940967263884876 -40.283822418033 55.4098279709041 -0.731912329723171 1.03053405577337 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 33 506 3 3 ZTF_g 613460671115 0 1.847 100.982 4.28222 26.2879 1.34155e-05 0.0257852 -0.0736412 1.50874e-05 501 30. 0.046257 0.04769 20.9427 26.2879 1 2458367.9606713 506120111 33.4458757204856 17.576761319148 2.11669613804195 1.08448170016104 28.1337575149355 33.2675931445462 0.851376288852896 1.04589111009681 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 34 506 3 3 ZTF_r 613485491115 0 2.0721 198.155 5.40903 26.1807 8.7821e-06 0.0208556 0.0863003 9.81786e-06 499 30. 0.048814 0.047233 20.6172 26.1807 1 2458367.9854977 506120211 4.45257947979759 20.2296175797339 0.244837991762354 0.921437042378916 31.2792670083211 37.4308148166384 0.841283707702625 1.04078624804531 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 35 506 3 3 ZTF_g 616451621115 0 2.2325 102.409 4.11556 26.3325 1.59905e-05 0.0280635 -0.100626 1.80373e-05 500 30. 0.047258 0.054134 20.9434 26.3325 1 2458370.9516204 506120111 21.5691390107675 17.8695500703574 1.34268455368509 0.989751241675015 32.0887079798176 31.8130279142722 1.01545905536988 1.04509057805929 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 36 506 3 3 ZTF_r 616496641115 0 2.01 201.136 5.23881 26.181 1.08438e-05 0.0232756 0.106227 1.21422e-05 503 30. 0.046272 0.050909 20.7035 26.181 1 2458370.9966435 506120211 21.1156787353144 19.4832983705115 1.20558369433097 0.95735107090178 -5.12019606765444 35.1818090184098 -0.146515515448986 1.05266724598323 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 37 506 3 3 ZTF_g 619422801115 0 2.4007 100.76 3.9876 26.3007 1.61149e-05 0.028376 -0.0809751 1.81372e-05 503 30. 0.048622 0.05191 20.8386 26.3007 1 2458373.9228009 506120111 -0.859847643344792 19.31656136429 -0.0495161064957753 0.995101740413496 -17.3467856991956 32.6723814740227 -0.534507021253118 1.05829395761664 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 38 506 3 3 ZTF_r 619463771115 0 1.9492 199.83 5.20137 26.184 8.3245e-06 0.0202874 0.0925866 9.32189e-06 503 30. 0.043101 0.046069 20.6 26.184 1 2458373.9637731 506120211 -17.1922884682487 20.9973197549352 -0.910803369806314 0.965039110360408 -25.4852641951107 39.1425706848534 -0.655473272880499 1.04314720558627 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
