Results from heasarc_swiftxrlog: Swift XRT Instrument Log
Coordinate system:  Equatorial
|target_id|obsid      |ra         |dec        |start_time           |exposure  |window_size|operation_mode|pointing_mode|flipflop|
|    15367|00015367005|03 20 09.66|+08 48 38.6|2022-10-10 14:31:38.2| 221.87474|200        |WINDOWED      |slewing      |N       |
|    15367|00015367005|03 20 09.66|+08 48 38.6|2022-10-10 14:35:20.6|  11.74225|200        |WINDOWED      |settling     |N       |
|    15367|00015367005|03 20 09.66|+08 48 38.6|2022-10-10 14:35:33.6| 437.02408|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367005|03 20 09.66|+08 48 38.6|2022-10-10 16:02:56.7|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367005|03 20 09.66|+08 48 38.6|2022-10-10 16:03:42.6| 177.04087|200        |WINDOWED      |slewing      |N       |
|    15367|00015367005|03 20 09.66|+08 48 38.6|2022-10-10 16:06:39.6|  11.74225|200        |WINDOWED      |settling     |N       |
|    15367|00015367005|03 20 09.66|+08 48 38.6|2022-10-10 16:06:53.6| 956.45837|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-21 16:31:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-21 16:32:38.2| 196.25536|200        |WINDOWED      |slewing      |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-21 16:35:54.4|  13.87715|200        |WINDOWED      |settling     |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-21 16:36:10.2| 162.32328|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-21 19:44:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-21 19:45:38.2| 148.21897|200        |WINDOWED      |slewing      |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-21 19:48:06.4|  13.87719|200        |WINDOWED      |settling     |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-21 19:48:22.2|  89.90222|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-21 22:54:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-21 22:55:38.2| 140.74658|200        |WINDOWED      |slewing      |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-21 22:57:58.9|  12.80971|200        |WINDOWED      |settling     |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-21 22:58:13.8| 159.82601|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-22 02:06:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-22 02:07:38.2| 149.28627|200        |WINDOWED      |slewing      |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-22 02:10:07.5|  12.80969|200        |WINDOWED      |settling     |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-22 02:10:22.6|  89.90206|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-22 03:41:09.3|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-22 03:41:50.8|  17.98691|200        |WINDOWED      |slewing      |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-22 03:42:08.8|  10.67475|200        |WINDOWED      |settling     |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|  2022-10-22 03:42:22|  269.7063|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-22 13:11:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367006|03 20 23.14|+08 42 16.1|2022-10-22 13:12:38.2|   84.1703|200        |WINDOWED      |slewing      |N       |
