Start Date,dt_rest,t_exp,Filter,fnu,e_fnu,Instrument,Flare?
(UT),(days),(sec.),,(uJy),(uJy),,
2022-12-16 23:53:37,100.52240,60.0,g,0.06,0.47,NOT/ALFOSC,  
2022-12-16 23:55:03,100.52340,60.0,g,0.80,0.46,NOT/ALFOSC,  
2022-12-16 23:56:30,100.52440,60.0,g,0.03,0.53,NOT/ALFOSC,  
2022-12-17 19:38:34,101.34528,120.0,g,1.62,1.04,LT/IO:O,  
2022-12-17 19:40:53,101.34689,120.0,g,-0.66,1.03,LT/IO:O,  
2022-12-17 19:43:12,101.34850,120.0,g,0.94,0.94,LT/IO:O,  
2022-12-17 19:45:30,101.35010,120.0,g,2.56,1.08,LT/IO:O,  
2022-12-17 19:47:49,101.35171,120.0,g,-2.11,1.11,LT/IO:O,  
2022-12-17 19:50:08,101.35332,120.0,g,-1.93,0.98,LT/IO:O,  
2022-12-17 19:52:47,101.35516,120.0,r,1.34,0.99,LT/IO:O,  
2022-12-17 19:55:06,101.35677,120.0,r,1.09,1.00,LT/IO:O,  
2022-12-17 19:59:03,101.35951,120.0,r,2.79,1.10,LT/IO:O,  
2022-12-17 20:01:22,101.36112,120.0,r,-0.60,1.07,LT/IO:O,  
2022-12-17 20:03:41,101.36273,120.0,r,-0.44,1.14,LT/IO:O,  
2022-12-17 20:06:00,101.36434,120.0,r,1.98,1.21,LT/IO:O,  
2022-12-17 20:08:19,101.36595,120.0,r,0.16,1.04,LT/IO:O,  
2022-12-17 20:10:38,101.36755,120.0,r,1.50,1.22,LT/IO:O,  
2022-12-17 20:12:57,101.36916,120.0,r,0.05,1.17,LT/IO:O,  
2022-12-17 20:15:16,101.37077,120.0,r,0.09,1.05,LT/IO:O,  
2022-12-17 20:17:57,101.37263,120.0,g,-1.35,0.99,LT/IO:O,  
2022-12-17 20:20:16,101.37424,120.0,g,0.76,0.90,LT/IO:O,  
2022-12-17 22:06:14,101.44783,120.0,g,1.72,1.20,LT/IO:O,  
2022-12-17 22:08:32,101.44943,120.0,g,1.37,1.16,LT/IO:O,  
2022-12-17 22:10:51,101.45104,120.0,g,4.01,1.09,LT/IO:O,  
2022-12-17 22:13:10,101.45265,120.0,g,-0.77,1.32,LT/IO:O,  
2022-12-17 22:15:29,101.45426,120.0,g,3.80,1.22,LT/IO:O,  
2022-12-17 22:17:49,101.45587,120.0,g,1.93,1.28,LT/IO:O,  
2022-12-17 22:20:28,101.45772,120.0,r,2.42,1.39,LT/IO:O,  
2022-12-17 22:22:48,101.45933,120.0,r,-0.98,1.32,LT/IO:O,  
2022-12-18 21:11:45,102.40999,120.0,g,1.35,1.06,LT/IO:O,  
2022-12-18 21:14:04,102.41160,120.0,g,1.38,1.01,LT/IO:O,  
2022-12-18 21:16:22,102.41320,120.0,g,1.73,1.26,LT/IO:O,  
2022-12-18 21:18:41,102.41481,120.0,g,-1.39,1.10,LT/IO:O,  
2022-12-18 21:21:00,102.41642,120.0,g,-1.54,1.11,LT/IO:O,  
2022-12-18 21:23:19,102.41803,120.0,g,0.34,1.16,LT/IO:O,  
2022-12-18 21:25:58,102.41987,120.0,r,0.83,1.30,LT/IO:O,  
2022-12-18 21:28:17,102.42148,120.0,r,-1.11,1.35,LT/IO:O,  
2022-12-19 00:17:41,102.53912,120.0,g,0.95,1.16,LT/IO:O,  
2022-12-19 00:20:00,102.54073,120.0,g,-2.12,1.12,LT/IO:O,  
2022-12-19 00:22:20,102.54234,120.0,g,0.42,1.26,LT/IO:O,  
2022-12-19 00:24:38,102.54394,120.0,g,-0.83,1.34,LT/IO:O,  
2022-12-19 00:26:57,102.54555,120.0,g,-0.14,1.15,LT/IO:O,  
2022-12-19 00:29:16,102.54716,120.0,g,2.54,1.17,LT/IO:O,  
2022-12-19 00:31:35,102.54877,120.0,g,-0.37,1.18,LT/IO:O,  
2022-12-19 00:33:54,102.55038,120.0,g,-2.25,0.95,LT/IO:O,  
2022-12-19 00:36:12,102.55198,120.0,g,-1.19,1.07,LT/IO:O,  
2022-12-19 01:55:41,102.60717,20,i,2.96,2.38,GTC/ULTRACAM,  
2022-12-19 01:55:41,102.60717,20,g,0.30,0.94,GTC/ULTRACAM,  
2022-12-19 01:55:41,102.60717,20,u,-1.03,2.03,GTC/ULTRACAM,  
2022-12-19 01:56:02,102.60742,20,u,1.12,2.16,GTC/ULTRACAM,  
2022-12-19 01:56:02,102.60742,20,i,2.77,2.37,GTC/ULTRACAM,  
2022-12-19 01:56:02,102.60742,20,g,0.54,0.94,GTC/ULTRACAM,  
2022-12-19 01:56:22,102.60765,20,i,-4.63,2.43,GTC/ULTRACAM,  
2022-12-19 01:56:22,102.60765,20,u,4.46,1.99,GTC/ULTRACAM,  
2022-12-19 01:56:22,102.60765,20,g,-1.45,0.86,GTC/ULTRACAM,  
2022-12-19 01:56:42,102.60788,20,u,2.64,2.13,GTC/ULTRACAM,  
2022-12-19 01:56:42,102.60788,20,g,-0.47,0.89,GTC/ULTRACAM,  
2022-12-19 01:56:42,102.60788,20,i,2.62,2.32,GTC/ULTRACAM,  
2022-12-19 01:57:02,102.60811,20,i,2.06,2.59,GTC/ULTRACAM,  
2022-12-19 01:57:02,102.60811,20,g,-1.96,0.94,GTC/ULTRACAM,  
2022-12-19 01:57:02,102.60811,20,u,0.65,2.14,GTC/ULTRACAM,  
2022-12-19 01:57:22,102.60834,20,i,-0.73,2.32,GTC/ULTRACAM,  
2022-12-19 01:57:22,102.60834,20,g,0.31,0.89,GTC/ULTRACAM,  
2022-12-19 01:57:22,102.60834,20,u,3.17,2.12,GTC/ULTRACAM,  
2022-12-19 01:57:42,102.60857,20,i,-2.46,2.25,GTC/ULTRACAM,  
2022-12-19 01:57:42,102.60857,20,g,-1.76,0.94,GTC/ULTRACAM,  
2022-12-19 01:57:42,102.60857,20,u,-2.11,1.88,GTC/ULTRACAM,  
2022-12-19 01:58:03,102.60881,20,i,5.05,2.13,GTC/ULTRACAM,  
2022-12-19 01:58:03,102.60881,20,g,-2.25,0.87,GTC/ULTRACAM,  
2022-12-19 01:58:03,102.60881,20,u,4.35,2.00,GTC/ULTRACAM,  
